,Further trainingor education,Primarily research,Primarilyteaching,,Not related to,Other,
Department or Center,,,,Science-related,science,,Not Found
,N %,N %,N %,N %,N %,N %,N %
A&S Biology,7 26,10 37,2 7,1 4,0 0,1 4,6 22
A&S Biophysics,6 30,6 30,0 0,0 0,1 5,2 10,5 25
A&S Chemistry,10 20,11 22,4 8,2 4,1 2,3 6,18 37
A&S Neuroscience,3 14,4 18,0 0,0 0,0 0,4 18,11 50
A&S Psychological & Brain Sciences,1 5,4 19,2 10,3 14,2 10,0 0,9 43
SOM Anesthesiology and Critical Care Medicine,7 11,10 15,11 17,4 6,0 0,2 3,32 48
SOM Biological Chemistry,6 20,8 27,1 3,2 7,0 0,3 10,10 33
SOM Biomedical Engineering,7 12,15 26,2 4,4 7,3 5,3 5,23 40
SOM Biophysics and Biophysical Chemistry,9 27,7 21,2 6,0 0,0 0,5 15,10 30
SOM Cell Biology,7 23,6 20,1 3,1 3,2 7,2 7,11 37
SOM Dermatology,0 0,3 21,1 7,2 14,2 14,1 7,5 36
SOM Gynecology and Obstetrics,5 13,4 10,2 5,3 8,0 0,2 5,24 60
SOM Institute for Cell Engineering,2 8,2 8,0 0,0 0,1 4,1 4,19 76
SOM McKusick-Nathans Institute of Genetic Medicine,5 10,13 26,8 16,1 2,1 2,6 12,16 32
SOM Medicine,34 10,45 13,16 5,36 11,5 1,24 7,177 53
SOM Molecular and Comparative Pathobiology,0 0,5 21,4 17,2 8,1 4,2 8,10 42
SOM Molecular Biology and Genetics,16 31,8 15,2 4,1 2,2 4,3 6,20 38
SOM Neurological Surgery,5 10,8 16,0 0,5 10,0 0,4 8,29 57
SOM Neurology,20 14,25 18,7 5,8 6,4 3,5 4,70 50
SOM Neuroscience,14 15,25 26,4 4,2 2,4 4,7 7,40 42
SOM Oncology Center,11 7,45 28,10 6,15 9,1 1,19 12,58 36
SOM Ophthalmology,11 8,23 17,11 8,9 7,3 2,27 20,49 37
SOM Orthopaedic Surgery,4 7,4 7,0 0,2 4,0 0,1 2,46 81
SOM Otolaryngology-Head and Neck Surgery,3 6,4 8,6 11,3 6,0 0,5 9,32 60
SOM Pathology,6 3,26 14,9 5,5 3,3 2,12 6,124 67
SOM Pediatrics,9 9,19 20,4 4,6 6,2 2,8 8,48 50
SOM Pharmacology and Molecular Sciences,8 21,10 26,4 10,2 5,1 3,3 8,11 28
SOM Physical Medicine and Rehabilitation,1 7,0 0,0 0,1 7,0 0,1 7,11 79
SOM Physiology,2 6,8 24,0 0,2 6,2 6,4 12,16 47
SOM Plastic Surgery,1 3,0 0,1 3,4 11,1 3,1 3,30 79
SOM Psychiatry and Behavioral Sciences,11 11,21 20,7 7,4 4,4 4,7 7,49 48
SOM Radiation Oncology and Molecular Radiation Sciences,4 13,5 16,2 6,5 16,2 6,2 6,11 35
SOM Radiology and Radiological Science,15 9,25 15,10 6,15 9,0 0,7 4,92 56
SOM Surgery,7 6,7 6,1 1,15 14,2 2,4 4,73 67
SOM Urology,1 2,5 11,3 7,3 7,1 2,4 9,27 61
SPH Biochemistry and Molecular Biology,7 21,8 24,4 12,1 3,1 3,1 3,11 33
SPH Environmental Health and Engineering,7 16,4 9,3 7,5 11,2 5,2 5,21 48
SPH Epidemiology,5 6,20 24,13 16,5 6,0 0,7 8,33 40
SPH Molecular Microbiology and Immunology,10 15,16 25,5 8,4 6,4 6,5 8,21 32
WSE Biomedical Engineering,2 15,2 15,2 15,2 15,0 0,2 15,3 23
WSE Chemical and Biomolecular Engineering,12 30,4 10,1 3,1 3,2 5,5 13,15 38
WSE Environmental Health and Engineering,0 0,3 25,4 33,1 8,2 17,0 0,2 17
Other Dept or Center,6 13,17 35,4 8,0 0,1 2,6 13,14 29
