,Academia,For-Profit,Government,Nonprofit,Other,Not Found
Department or Center,,,,,,
,N %,N %,N %,N %,N %,N %
A&S Biology,10 37,4 15,3 11,2 7,2 7,6 22
A&S Biophysics,9 45,3 15,0 0,1 5,2 10,5 25
A&S Chemistry,18 37,2 4,5 10,1 2,5 10,18 37
A&S Neuroscience,5 23,1 5,1 5,0 0,4 18,11 50
A&S Psychological & Brain Sciences,5 24,3 14,0 0,4 19,0 0,9 43
SOM Anesthesiology and Critical Care Medicine,26 39,3 5,0 0,2 3,3 5,32 48
SOM Biological Chemistry,12 40,4 13,1 3,0 0,3 10,10 33
SOM Biomedical Engineering,15 26,10 18,6 11,0 0,3 5,23 40
SOM Biophysics and Biophysical Chemistry,14 42,2 6,2 6,1 3,4 12,10 30
SOM Cell Biology,12 40,1 3,2 7,2 7,2 7,11 37
SOM Dermatology,7 50,0 0,1 7,0 0,1 7,5 36
SOM Gynecology and Obstetrics,13 33,1 3,0 0,0 0,2 5,24 60
SOM Institute for Cell Engineering,5 20,1 4,0 0,0 0,0 0,19 76
SOM McKusick-Nathans Institute of Genetic Medicine,14 28,10 20,1 2,2 4,7 14,16 32
SOM Medicine,85 25,17 5,6 2,24 7,28 8,177 53
SOM Molecular and Comparative Pathobiology,9 38,2 8,1 4,1 4,1 4,10 42
SOM Molecular Biology and Genetics,20 38,6 12,2 4,2 4,2 4,20 38
SOM Neurological Surgery,10 20,5 10,1 2,2 4,4 8,29 57
SOM Neurology,44 32,11 8,5 4,3 2,6 4,70 50
SOM Neuroscience,37 39,6 6,3 3,1 1,9 9,40 42
SOM Oncology Center,46 29,25 16,3 2,10 6,17 11,58 36
SOM Ophthalmology,38 29,6 5,3 2,9 7,28 21,49 37
SOM Orthopaedic Surgery,6 11,2 4,1 2,1 2,1 2,46 81
SOM Otolaryngology-Head and Neck Surgery,12 23,2 4,2 4,1 2,4 8,32 60
SOM Pathology,28 15,9 5,7 4,6 3,11 6,124 67
SOM Pediatrics,31 32,2 2,5 5,2 2,8 8,48 50
SOM Pharmacology and Molecular Sciences,16 41,3 8,3 8,2 5,4 10,11 28
SOM Physical Medicine and Rehabilitation,2 14,0 0,0 0,0 0,1 7,11 79
SOM Physiology,8 24,5 15,1 3,0 0,4 12,16 47
SOM Plastic Surgery,4 11,1 3,1 3,1 3,1 3,30 79
SOM Psychiatry and Behavioral Sciences,40 39,3 3,2 2,1 1,8 8,49 48
SOM Radiation Oncology and Molecular Radiation Sciences,13 42,4 13,0 0,1 3,2 6,11 35
SOM Radiology and Radiological Science,46 28,7 4,4 2,8 5,7 4,92 56
SOM Surgery,22 20,4 4,0 0,6 6,4 4,73 67
SOM Urology,9 20,2 5,0 0,2 5,4 9,27 61
SPH Biochemistry and Molecular Biology,17 52,1 3,2 6,1 3,1 3,11 33
SPH Environmental Health and Engineering,15 34,2 5,2 5,2 5,2 5,21 48
SPH Epidemiology,36 43,3 4,1 1,3 4,7 8,33 40
SPH Molecular Microbiology and Immunology,21 32,8 12,7 11,3 5,5 8,21 32
WSE Biomedical Engineering,5 38,2 15,0 0,1 8,2 15,3 23
WSE Chemical and Biomolecular Engineering,10 25,3 8,4 10,2 5,6 15,15 38
WSE Environmental Health and Engineering,5 42,2 17,1 8,0 0,2 17,2 17
Other Dept or Center,21 44,5 10,2 4,0 0,6 13,14 29
